"year","month","sst"
1950,1,24.91
1950,2,25.26
1950,3,26.09
1950,4,26.4
1950,5,26.26
1950,6,26.59
1950,7,26.39
1950,8,25.89
1950,9,25.72
1950,10,25.85
1950,11,25.7
1950,12,25.43
1951,1,25.41
1951,2,25.8
1951,3,27.02
1951,4,27.64
1951,5,28
1951,6,27.52
1951,7,27.58
1951,8,27.07
1951,9,27.27
1951,10,27.12
1951,11,27.13
1951,12,26.9
1952,1,26.76
1952,2,26.87
1952,3,27.36
1952,4,28.02
1952,5,28.15
1952,6,27.47
1952,7,26.92
1952,8,26.47
1952,9,26.52
1952,10,26.54
1952,11,26.39
1952,12,26.56
1953,1,26.94
1953,2,27.24
1953,3,27.64
1953,4,28.21
1953,5,28.33
1953,6,28.18
1953,7,27.61
1953,8,27.13
1953,9,27.11
1953,10,27.14
1953,11,27
1953,12,27.08
1954,1,26.98
1954,2,27.11
1954,3,27.05
1954,4,26.9
1954,5,27.12
1954,6,27.03
1954,7,26.43
1954,8,25.73
1954,9,25.51
1954,10,25.67
1954,11,25.93
1954,12,25.69
1955,1,25.88
1955,2,25.93
1955,3,26.42
1955,4,26.71
1955,5,26.97
1955,6,26.82
1955,7,26.43
1955,8,25.87
1955,9,25.63
1955,10,24.69
1955,11,24.52
1955,12,24.81
1956,1,25.68
1956,2,26.12
1956,3,26.63
1956,4,26.84
1956,5,27.34
1956,6,27.06
1956,7,26.5
1956,8,25.92
1956,9,25.97
1956,10,25.87
1956,11,25.8
1956,12,25.91
1957,1,26.1
1957,2,26.54
1957,3,27.44
1957,4,28.14
1957,5,28.41
1957,6,28.27
1957,7,28.12
1957,8,27.7
1957,9,27.43
1957,10,27.39
1957,11,27.74
1957,12,27.87
1958,1,28.23
1958,2,28.25
1958,3,28.21
1958,4,28.27
1958,5,28.33
1958,6,28.15
1958,7,27.37
1958,8,26.85
1958,9,26.64
1958,10,26.79
1958,11,27.04
1958,12,26.85
1959,1,27.05
1959,2,27.22
1959,3,27.44
1959,4,27.86
1959,5,27.74
1959,6,27.34
1959,7,26.56
1959,8,26.27
