lat,lon,n,year,month,day,ozone,ozone_max,hour_max,aqi,pressure,humidity,temp,windsp,winddir
33.83062,-117.93845,24,2001,9,7,0.035292,0.042,22,36,29.75,78.125,68.208333,2.741667,139.291667
33.83062,-117.93845,24,2001,9,8,0.041,0.05,9,42,29.704167,78.25,67.416667,4.070833,239.083333
33.83062,-117.93845,24,2001,9,9,0.038292,0.053,10,45,29.7,84.666667,66.458333,3.025,245.875
33.83062,-117.93845,24,2001,9,10,0.030125,0.045,11,38,29.716667,82.041667,66.416667,3.1,199.208333
33.83062,-117.93845,24,2001,9,11,0.031167,0.05,9,42,29.716667,67.583333,68.083333,2.920833,212.25
33.83062,-117.93845,24,2001,9,12,0.021333,0.039,9,33,29.658333,73.541667,70.041667,3.2125,190.625
33.83062,-117.93845,24,2001,9,13,0.026333,0.038,9,32,29.7,65.5,70.166667,3.095833,185.416667
33.83062,-117.93845,24,2001,9,14,0.030417,0.051,10,43,29.720833,37.416667,72.916667,3.0625,211.458333
33.83062,-117.93845,24,2001,9,15,0.034292,0.058,10,49,29.720833,46.166667,71.25,3.145833,212.833333
33.83062,-117.93845,24,2001,9,16,0.038583,0.049,9,42,29.725,56.791667,68.5,3.108333,197.666667
33.83062,-117.93845,24,2001,9,17,0.038292,0.049,10,42,29.7375,72.416667,67.583333,3.429167,184
33.83062,-117.93845,24,2001,9,18,0.034333,0.055,10,47,29.7125,84.041667,68.333333,3.175,233.875
33.83062,-117.93845,24,2001,9,19,0.032833,0.051,10,43,29.720833,86.916667,66.75,2.9875,249.416667
33.83062,-117.93845,24,2001,9,20,0.031167,0.05,10,42,29.7625,59.083333,66.166667,2.895833,253.333333
33.83062,-117.93845,24,2001,9,21,0.028667,0.061,10,54,29.754167,48.5,69.041667,2.845833,246.625
33.83062,-117.93845,24,2001,9,22,0.027333,0.054,10,46,29.708333,78.916667,69.083333,2.920833,242.208333
33.83062,-117.93845,24,2001,9,23,0.033625,0.066,10,71,29.679167,67.375,68.083333,2.775,241.375
33.83062,-117.93845,24,2001,9,24,0.019917,0.043,10,36,29.629167,59.208333,74.583333,2.354167,232.5
33.83062,-117.93845,24,2001,9,25,0.018417,0.03,9,25,29.629167,58.208333,77.125,2.929167,234.583333
33.83062,-117.93845,24,2001,9,26,0.02475,0.046,10,39,29.616667,72.791667,72.333333,2.7875,217.583333
33.83062,-117.93845,24,2001,9,27,0.036917,0.055,11,47,29.6125,66.416667,70.375,2.954167,228.875
33.83062,-117.93845,24,2001,9,28,0.026792,0.051,9,43,29.604167,45.375,69.083333,2.8875,212.333333
33.83062,-117.93845,24,2001,9,29,0.034042,0.066,10,71,29.55,57.708333,71.416667,2.670833,213.958333
33.83062,-117.93845,24,2001,9,30,0.0355,0.069,9,80,29.5875,42.875,74.083333,2.670833,210.125
33.83062,-117.93845,24,2001,10,1,0.022042,0.044,9,37,29.7,60.125,78.875,3.125,222.791667
33.83062,-117.93845,24,2001,10,2,0.023125,0.04,9,34,29.7,75.916667,72.333333,2.891667,234.708333
33.83062,-117.93845,24,2001,10,3,0.038417,0.051,10,43,29.775,59.458333,68.583333,3.504167,214.416667
33.83062,-117.93845,24,2001,10,4,0.035458,0.041,22,35,29.783333,78.208333,67.958333,3.333333,207.791667
33.83062,-117.93845,24,2001,10,5,0.038292,0.041,9,35,29.8,80.083333,65,4.370833,203.708333
33.83062,-117.93845,24,2001,10,6,0.038167,0.046,10,39,29.8,72.666667,65.041667,3.175,197.125
33.83062,-117.93845,24,2001,10,7,0.0355,0.048,8,41,29.825,72.291667,66.833333,3.066667,194.625
33.83062,-117.93845,24,2001,10,8,0.036292,0.045,11,38,29.825,85.458333,63.875,3.391667,179.416667
33.83062,-117.93845,24,2001,10,9,0.032,0.049,9,42,29.8,77.541667,64.125,2.929167,207.875
33.83062,-117.93845,24,2001,10,10,0.021542,0.04,10,34,29.8125,70,66.583333,2.95,192.375
33.83062,-117.93845,24,2001,10,11,0.031833,0.051,11,43,29.775,48.958333,64.625,2.770833,176.166667
33.83062,-117.93845,24,2001,10,12,0.019792,0.036,9,31,29.725,52.583333,69.916667,2.4125,178.708333
33.83062,-117.93845,24,2001,10,13,0.034792,0.061,10,54,29.720833,55.583333,68.916667,2.666667,185.041667
33.83062,-117.93845,24,2001,10,14,0.039875,0.07,10,84,29.7125,38.916667,68.875,2.4125,205.458333
33.83062,-117.93845,24,2001,10,15,0.029958,0.058,10,49,29.775,45.541667,68.958333,2.375,210.041667
33.83062,-117.93845,24,2001,10,16,0.020583,0.042,10,36,29.804167,42.75,67.208333,2.633333,210.166667
33.83062,-117.93845,24,2001,10,17,0.018375,0.036,9,31,29.808333,43.75,65.583333,2.558333,209.916667
33.83062,-117.93845,24,2001,10,18,0.020333,0.041,9,35,29.820833,77.833333,66.375,2.633333,193.791667
33.83062,-117.93845,24,2001,10,19,0.012167,0.02,8,17,29.745833,71.416667,64.5,2.383333,221.583333
33.83062,-117.93845,24,2001,10,20,0.026625,0.045,11,38,29.7,48.666667,63.583333,2.379167,193.458333
33.83062,-117.93845,24,2001,10,21,0.034792,0.045,9,38,29.7375,74.708333,64.25,2.304167,208.833333
33.83062,-117.93845,24,2001,10,22,0.029667,0.047,11,40,29.758333,74.458333,64.416667,2.304167,203.125
33.83062,-117.93845,24,2001,10,23,0.028792,0.048,11,41,29.683333,58.666667,62.666667,2.520833,183.958333
33.83062,-117.93845,24,2001,10,24,0.032792,0.048,12,41,29.733333,88.041667,65.416667,2.625,189.375
33.83062,-117.93845,24,2001,10,25,0.026417,0.059,11,50,29.816667,63.625,65.583333,2.9625,160.875
33.83062,-117.93845,24,2001,10,26,0.020792,0.044,11,37,29.833333,53.708333,64.791667,2.545833,276.75
33.83062,-117.93845,24,2001,10,27,0.021208,0.038,9,32,29.829167,50.458333,63,2.891667,179.375
33.83062,-117.93845,24,2001,10,28,0.025667,0.035,8,30,29.879167,68.416667,64,2.279167,197.5
33.83062,-117.93845,24,2001,10,29,0.0135,0.023,8,19,29.925,72.791667,64.958333,2.170833,256.291667
